Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,086338,2017,01,01,16.8,1,Y
IDCJAC0011,086338,2017,01,02,14.8,1,Y
IDCJAC0011,086338,2017,01,03,14.6,1,Y
IDCJAC0011,086338,2017,01,04,13.3,1,Y
IDCJAC0011,086338,2017,01,05,18.5,1,Y
IDCJAC0011,086338,2017,01,06,18.3,1,Y
IDCJAC0011,086338,2017,01,07,20.9,1,Y
IDCJAC0011,086338,2017,01,08,28.0,1,Y
IDCJAC0011,086338,2017,01,09,18.5,1,Y
IDCJAC0011,086338,2017,01,10,17.7,1,Y
IDCJAC0011,086338,2017,01,11,16.6,1,Y
IDCJAC0011,086338,2017,01,12,14.9,1,Y
IDCJAC0011,086338,2017,01,13,17.5,1,Y
IDCJAC0011,086338,2017,01,14,15.2,1,Y
IDCJAC0011,086338,2017,01,15,15.2,1,Y
IDCJAC0011,086338,2017,01,16,12.2,1,Y
IDCJAC0011,086338,2017,01,17,16.4,1,Y
IDCJAC0011,086338,2017,01,18,15.6,1,Y
IDCJAC0011,086338,2017,01,19,11.0,1,Y
IDCJAC0011,086338,2017,01,20,16.1,1,Y
IDCJAC0011,086338,2017,01,21,15.3,1,Y
IDCJAC0011,086338,2017,01,22,12.7,1,Y
IDCJAC0011,086338,2017,01,23,17.8,1,Y
IDCJAC0011,086338,2017,01,24,19.1,1,Y
IDCJAC0011,086338,2017,01,25,13.5,1,Y
IDCJAC0011,086338,2017,01,26,16.4,1,Y
IDCJAC0011,086338,2017,01,27,17.0,1,Y
IDCJAC0011,086338,2017,01,28,15.0,1,Y
IDCJAC0011,086338,2017,01,29,15.1,1,Y
IDCJAC0011,086338,2017,01,30,17.8,1,Y
IDCJAC0011,086338,2017,01,31,16.5,1,Y
IDCJAC0011,086338,2017,02,01,14.3,1,N
IDCJAC0011,086338,2017,02,02,14.2,1,N
IDCJAC0011,086338,2017,02,03,15.4,1,N
IDCJAC0011,086338,2017,02,04,14.6,1,N
IDCJAC0011,086338,2017,02,05,18.5,1,N
IDCJAC0011,086338,2017,02,06,15.1,1,N
IDCJAC0011,086338,2017,02,07,15.4,1,N
IDCJAC0011,086338,2017,02,08,16.5,1,N
IDCJAC0011,086338,2017,02,09,20.3,1,N
IDCJAC0011,086338,2017,02,10,18.7,1,N
IDCJAC0011,086338,2017,02,11,18.5,1,N
IDCJAC0011,086338,2017,02,12,15.1,1,N
IDCJAC0011,086338,2017,02,13,14.0,1,N
IDCJAC0011,086338,2017,02,14,14.5,1,N
IDCJAC0011,086338,2017,02,15,10.0,1,N
IDCJAC0011,086338,2017,02,16,14.9,1,N
IDCJAC0011,086338,2017,02,17,13.7,1,N
IDCJAC0011,086338,2017,02,18,13.3,1,N
IDCJAC0011,086338,2017,02,19,11.7,1,N
IDCJAC0011,086338,2017,02,20,11.6,1,N
IDCJAC0011,086338,2017,02,21,10.1,1,N
IDCJAC0011,086338,2017,02,22,12.8,1,N
IDCJAC0011,086338,2017,02,23,15.9,1,N
IDCJAC0011,086338,2017,02,24,15.8,1,N
